2018-03-21 10:29:35 EXEC SPC_GET_TAX_RATE '2018/03/21';
2018-03-21 10:29:43 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-03-21 10:29:43 EXEC SPC_GET_CONSTANT '';
2018-03-21 10:32:28 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 10:32:29 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 10:55:28 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-03-21 11:01:02 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:01:02 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:01:05 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:01:05 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:01:06 EXEC SPC_049_INPUT_OUTPUT_FND1 '','','','','','','','1','10';
2018-03-21 11:01:08 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:04:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:04:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:04:37 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:04:40 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:04:42 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:05:17 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:07:06 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:07:09 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:08:53 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:08:55 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:09:16 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:09:25 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:09:52 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:09:57 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:10:31 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:10:36 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:11:17 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:11:19 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:11:19 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:11:22 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:11:24 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:11:26 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:11:31 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050000';
2018-03-21 11:11:42 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:12:21 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050005';
2018-03-21 11:13:27 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:13:27 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:13:27 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:13:31 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050007';
2018-03-21 11:13:53 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:13:53 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:13:53 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:13:56 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050007';
2018-03-21 11:14:20 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
