2018-05-04 10:20:23 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-05-04 10:20:23 EXEC SPC_GET_CONSTANT '';
2018-05-04 10:22:18 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-05-04 10:22:21 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-05-04 10:22:22 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-05-04 10:22:23 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-05-04 10:22:23 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-05-04 10:22:24 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-05-04 10:22:24 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-05-04 10:22:24 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-05-04 10:22:24 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-05-04 10:22:24 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-05-04 10:22:24 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-04 10:22:24 EXEC SPC_GET_TAX_RATE '2018/05/04';
2018-05-04 10:22:24 EXEC SPC_COM_GET_COMBOBOX 'storage_manager_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-05-04 10:26:35 EXEC SPC_GET_TAX_RATE '2018/05/04';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-04 10:26:35 EXEC SPC_COM_GET_COMBOBOX 'storage_manager_div';
2018-05-04 10:55:01 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 10:55:03 EXEC SPC_COM_GET_COMBOBOX 'outsourcing_div';
2018-05-04 10:55:04 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 10:55:04 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-04 10:55:04 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-05-04 10:55:04 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-05-04 10:55:05 EXEC SPC_062_PRODUCT_MASTER_DETAIL_INQ1 '';
2018-05-04 10:55:55 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-05-04 10:55:55 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-05-04 10:55:55 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-05-04 10:55:55 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-05-04 10:55:55 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-05-04 10:55:55 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-05-04 10:55:56 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-04 10:55:56 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-05-04 10:55:56 EXEC SPC_COM_GET_COMBOBOX 'bank_div';
2018-05-04 10:55:56 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-05-04 10:55:56 EXEC SPC_GET_TAX_RATE '2018/05/04';
2018-05-04 10:55:57 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-05-04 11:28:42 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 11:28:44 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-05-04 11:28:45 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-05-04 11:28:45 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 11:28:45 EXEC SPC_COM_GET_COMBOBOX 'outsourcing_div';
2018-05-04 11:28:45 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-04 11:28:46 EXEC SPC_062_PRODUCT_MASTER_DETAIL_INQ1 '';
2018-05-04 11:50:09 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 11:50:11 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-05-04 11:50:12 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-05-04 11:50:12 EXEC SPC_COM_GET_COMBOBOX 'outsourcing_div';
2018-05-04 11:50:12 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 11:50:12 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-04 11:50:13 EXEC SPC_062_PRODUCT_MASTER_DETAIL_INQ1 '';
2018-05-04 11:50:55 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 11:50:56 EXEC SPC_COM_GET_COMBOBOX 'outsourcing_div';
2018-05-04 11:50:56 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-04 11:50:56 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-05-04 11:50:56 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 11:50:56 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-05-04 11:50:57 EXEC SPC_062_PRODUCT_MASTER_DETAIL_INQ1 '';
2018-05-04 11:51:54 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 11:51:56 EXEC SPC_COM_GET_COMBOBOX 'exists_div';
2018-05-04 11:51:56 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-05-04 11:51:56 EXEC SPC_COM_GET_COMBOBOX 'outsourcing_div';
2018-05-04 11:51:56 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-05-04 11:51:56 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-04 11:51:56 EXEC SPC_062_PRODUCT_MASTER_DETAIL_INQ1 '';
2018-05-04 11:53:33 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-05-04 11:53:33 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-05-04 11:53:33 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-05-04 11:53:33 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-05-04 11:53:33 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-05-04 11:53:34 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-04 11:53:34 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-05-04 11:53:34 EXEC SPC_COM_GET_COMBOBOX 'storage_manager_div';
