MessageID,Type,MessageName,Message
C001,1,登録確認,登録してもよろしいですか？
C002,1,削除確認,削除してもよろしいですか？
C003,1,修正確認,修正してもよろしいですか？
C004,1,印刷確認,印刷してもよろしいですか？
C005,1,承認確認,承認してもよろしいですか？
C006,1,承認取消確認,承認を取り消してもよろしいですか？
C007,1,出力確認,ファイルを出力してもよろしいですか？
C008,1,受注取消確認,受注を取り消してもよろしいですか？
C201,1,登録確認,入金額合計が受注金額を超えていますが、よろしいですか？
C481,1,登録確認,"{0}行目に指定されたシリアル番号がシリアル管理テーブルに存在しません。
登録してよろしいですか？
"
C482,1,登録確認,"指定された入出庫日は本日日付ではありません。
登録してよろしいですか？
"
C483,1,登録確認,"指定されたシリアル番号がシリアル管理テーブルに存在しません。
"
C484,1,パスワード確認,パスワードを更新してもよろしいですか ?
I001,2,登録完了,登録が完了しました。
I002,2,削除完了,削除が完了しました。
I003,2,修正完了,修正が完了しました。
I004,2,印刷完了,印刷が完了しました。
I005,2,承認完了,承認が完了しました。
I006,2,承認取消完了,承認を取り消しました。
I007,2,受注確認完了,受注確認が完了しました。
I008,2,出力完了,出力が完了しました。
I009,2,パスワード完了,パスワードが正しく変更されました。
W001,3,入力確認,該当データは存在しません。
E001,4,入力確認,必須入力です。
E002,4,入力確認,入力内容を確認してください。
E003,4,入力確認,選択して下さい。
E004,4,入力確認,明細を入力してください。
E005,4,入力確認,該当データは存在しません。
E006,4,入力確認,指定されたキーのデータが既に存在します。
E007,4,入力確認,「承認済み」のため削除できません。
E008,4,入力確認,「承認済み」のため保存できません。
E009,4,入力確認,「受注済み」のため承認取消できません。
E010,4,入力確認,「受注済み」のため削除できません。
E011,4,入力確認,「受注済み」のため保存できません。
E012,4,入力確認,"「承認済み」、「受注済み」のとき発行可能です。		"
E013,4,入力確認,「{1}」キー項目の内容は{2}行と重複しています。
E014,4,入力確認,終了日は開始日より小さくない。
E015,4,入力確認,フォーマットが正しくありません。
E016,4,入力確認,{0}は{1} より大きい値を登録できません。
E017,4,入力確認,指定したシリアル番号が存在しています。
E101,4,入力確認,この出荷指示データはInvoice作成済みのため変更できません。(InvoiceNo={0})
E140,4,入力確認,指定された出荷指示Noは承認されていません。
E141,4,入力確認,指定された出荷指示Noは既にInvoice作成済みです。(InvoiceNo={0})
E142,4,入力確認,指定された出荷指示NoはInvoice作成済みです。(Invoiceは削除されています)
E143,4,入力確認,カートン明細に製品情報がセットされていません。
E251,4,入力確認,生産指示が出されている明細行は、製品コードを変更できません。
E252,4,入力確認,生産指示が出されている明細行は、削除できません。
E253,4,入力確認,生産指示が出されている生産指示数の数量に変更できません。
